Epoch 1 | Train Loss: 0.3533 | Train Acc: 86.84% | Val Loss: 0.3525 | Val Acc: 87.12%
Epoch 2 | Train Loss: 0.2674 | Train Acc: 89.64% | Val Loss: 0.2656 | Val Acc: 90.12%
Epoch 3 | Train Loss: 0.2302 | Train Acc: 91.03% | Val Loss: 0.2282 | Val Acc: 91.13%
Epoch 4 | Train Loss: 0.2103 | Train Acc: 91.75% | Val Loss: 0.2089 | Val Acc: 92.03%
Epoch 5 | Train Loss: 0.1969 | Train Acc: 92.29% | Val Loss: 0.1961 | Val Acc: 92.42%
Epoch 6 | Train Loss: 0.1874 | Train Acc: 92.61% | Val Loss: 0.1863 | Val Acc: 92.88%
Epoch 7 | Train Loss: 0.1798 | Train Acc: 92.99% | Val Loss: 0.1792 | Val Acc: 93.02%
Epoch 8 | Train Loss: 0.1738 | Train Acc: 93.22% | Val Loss: 0.1734 | Val Acc: 93.43%
Epoch 9 | Train Loss: 0.1686 | Train Acc: 93.49% | Val Loss: 0.1685 | Val Acc: 93.65%
Epoch 10 | Train Loss: 0.1647 | Train Acc: 93.70% | Val Loss: 0.1651 | Val Acc: 93.80%
93.8 93.85
