Epoch 1 | Train Loss: 0.9786 | Train Acc: 49.57% | Val Loss: 0.9753 | Val Acc: 49.33%
Epoch 2 | Train Loss: 0.7762 | Train Acc: 62.11% | Val Loss: 0.7738 | Val Acc: 62.60%
Epoch 3 | Train Loss: 0.6799 | Train Acc: 68.22% | Val Loss: 0.6790 | Val Acc: 68.48%
Epoch 4 | Train Loss: 0.6206 | Train Acc: 72.05% | Val Loss: 0.6208 | Val Acc: 72.05%
Epoch 5 | Train Loss: 0.5802 | Train Acc: 74.69% | Val Loss: 0.5812 | Val Acc: 74.67%
Epoch 6 | Train Loss: 0.5505 | Train Acc: 76.65% | Val Loss: 0.5520 | Val Acc: 76.80%
Epoch 7 | Train Loss: 0.5276 | Train Acc: 78.10% | Val Loss: 0.5296 | Val Acc: 78.07%
Epoch 8 | Train Loss: 0.5095 | Train Acc: 79.23% | Val Loss: 0.5117 | Val Acc: 79.08%
Epoch 9 | Train Loss: 0.4946 | Train Acc: 80.16% | Val Loss: 0.4972 | Val Acc: 79.98%
Epoch 10 | Train Loss: 0.4824 | Train Acc: 81.03% | Val Loss: 0.4850 | Val Acc: 80.82%
80.81666666666666 81.74
