Epoch 1 | Train Loss: 0.6708 | Train Acc: 57.33% | Val Loss: 0.6724 | Val Acc: 57.48%
Epoch 2 | Train Loss: 0.6788 | Train Acc: 50.62% | Val Loss: 0.6806 | Val Acc: 50.62%
Epoch 3 | Train Loss: 0.6773 | Train Acc: 54.85% | Val Loss: 0.6785 | Val Acc: 55.10%
Epoch 4 | Train Loss: 0.6770 | Train Acc: 51.57% | Val Loss: 0.6789 | Val Acc: 51.37%
Epoch 5 | Train Loss: 0.6779 | Train Acc: 53.85% | Val Loss: 0.6789 | Val Acc: 54.43%
Epoch 6 | Train Loss: 0.6772 | Train Acc: 49.66% | Val Loss: 0.6798 | Val Acc: 49.43%
Epoch 7 | Train Loss: 0.6793 | Train Acc: 49.77% | Val Loss: 0.6814 | Val Acc: 49.97%
Epoch 8 | Train Loss: 0.6809 | Train Acc: 48.11% | Val Loss: 0.6827 | Val Acc: 48.38%
Epoch 9 | Train Loss: 0.6822 | Train Acc: 49.41% | Val Loss: 0.6843 | Val Acc: 49.13%
Epoch 10 | Train Loss: 0.6820 | Train Acc: 51.89% | Val Loss: 0.6835 | Val Acc: 51.40%
51.4 51.44
