Epoch 1 | Train Loss: 0.3609 | Train Acc: 79.49% | Val Loss: 0.3672 | Val Acc: 78.92%
Epoch 2 | Train Loss: 0.3062 | Train Acc: 82.43% | Val Loss: 0.3118 | Val Acc: 81.70%
Epoch 3 | Train Loss: 0.2832 | Train Acc: 83.47% | Val Loss: 0.2881 | Val Acc: 83.28%
Epoch 4 | Train Loss: 0.2648 | Train Acc: 84.67% | Val Loss: 0.2706 | Val Acc: 84.57%
Epoch 5 | Train Loss: 0.2523 | Train Acc: 85.15% | Val Loss: 0.2580 | Val Acc: 84.57%
Epoch 6 | Train Loss: 0.2403 | Train Acc: 85.86% | Val Loss: 0.2464 | Val Acc: 85.43%
Epoch 7 | Train Loss: 0.2385 | Train Acc: 85.88% | Val Loss: 0.2455 | Val Acc: 85.50%
Epoch 8 | Train Loss: 0.2268 | Train Acc: 86.40% | Val Loss: 0.2338 | Val Acc: 86.12%
Epoch 9 | Train Loss: 0.2229 | Train Acc: 86.70% | Val Loss: 0.2309 | Val Acc: 86.25%
Epoch 10 | Train Loss: 0.2206 | Train Acc: 86.66% | Val Loss: 0.2296 | Val Acc: 86.25%
86.25 85.16
