Epoch 1 | Train Loss: 0.4885 | Train Acc: 73.07% | Val Loss: 0.4933 | Val Acc: 72.28%
Epoch 2 | Train Loss: 0.4255 | Train Acc: 76.35% | Val Loss: 0.4304 | Val Acc: 75.92%
Epoch 3 | Train Loss: 0.3913 | Train Acc: 78.21% | Val Loss: 0.3966 | Val Acc: 77.47%
Epoch 4 | Train Loss: 0.3684 | Train Acc: 79.96% | Val Loss: 0.3739 | Val Acc: 79.18%
Epoch 5 | Train Loss: 0.3521 | Train Acc: 80.90% | Val Loss: 0.3578 | Val Acc: 80.12%
Epoch 6 | Train Loss: 0.3392 | Train Acc: 81.45% | Val Loss: 0.3451 | Val Acc: 80.85%
Epoch 7 | Train Loss: 0.3289 | Train Acc: 81.93% | Val Loss: 0.3352 | Val Acc: 81.57%
Epoch 8 | Train Loss: 0.3207 | Train Acc: 82.36% | Val Loss: 0.3275 | Val Acc: 82.22%
Epoch 9 | Train Loss: 0.3131 | Train Acc: 82.64% | Val Loss: 0.3197 | Val Acc: 82.28%
Epoch 10 | Train Loss: 0.3060 | Train Acc: 83.08% | Val Loss: 0.3128 | Val Acc: 82.55%
82.55 82.22
