Epoch 1 | Train Loss: 0.4233 | Train Acc: 84.18% | Val Loss: 0.4267 | Val Acc: 83.50%
Epoch 2 | Train Loss: 0.3406 | Train Acc: 88.11% | Val Loss: 0.3436 | Val Acc: 87.87%
Epoch 3 | Train Loss: 0.2980 | Train Acc: 89.44% | Val Loss: 0.3002 | Val Acc: 89.73%
Epoch 4 | Train Loss: 0.2722 | Train Acc: 90.26% | Val Loss: 0.2740 | Val Acc: 90.73%
Epoch 5 | Train Loss: 0.2551 | Train Acc: 90.72% | Val Loss: 0.2565 | Val Acc: 91.18%
Epoch 6 | Train Loss: 0.2433 | Train Acc: 91.07% | Val Loss: 0.2442 | Val Acc: 91.38%
Epoch 7 | Train Loss: 0.2345 | Train Acc: 91.32% | Val Loss: 0.2354 | Val Acc: 91.60%
Epoch 8 | Train Loss: 0.2277 | Train Acc: 91.45% | Val Loss: 0.2282 | Val Acc: 91.87%
Epoch 9 | Train Loss: 0.2229 | Train Acc: 91.62% | Val Loss: 0.2232 | Val Acc: 91.93%
Epoch 10 | Train Loss: 0.2190 | Train Acc: 91.65% | Val Loss: 0.2194 | Val Acc: 92.02%
92.01666666666667 92.17
