Epoch 1 | Train Loss: 2.3020 | Train Acc: 11.27% | Val Loss: 2.3030 | Val Acc: 10.90%
Epoch 2 | Train Loss: 2.3019 | Train Acc: 11.27% | Val Loss: 2.3029 | Val Acc: 10.90%
Epoch 3 | Train Loss: 2.3019 | Train Acc: 11.27% | Val Loss: 2.3028 | Val Acc: 10.90%
Epoch 4 | Train Loss: 2.3018 | Train Acc: 11.27% | Val Loss: 2.3027 | Val Acc: 10.90%
Epoch 5 | Train Loss: 2.3017 | Train Acc: 11.27% | Val Loss: 2.3026 | Val Acc: 10.90%
Epoch 6 | Train Loss: 2.3017 | Train Acc: 11.27% | Val Loss: 2.3026 | Val Acc: 10.90%
Epoch 7 | Train Loss: 2.3016 | Train Acc: 11.27% | Val Loss: 2.3025 | Val Acc: 10.90%
Epoch 8 | Train Loss: 2.3016 | Train Acc: 11.27% | Val Loss: 2.3025 | Val Acc: 10.90%
Epoch 9 | Train Loss: 2.3015 | Train Acc: 11.27% | Val Loss: 2.3024 | Val Acc: 10.90%
Epoch 10 | Train Loss: 2.3015 | Train Acc: 11.27% | Val Loss: 2.3024 | Val Acc: 10.90%
10.9 11.35
