Epoch 1 | Train Loss: 2.5599 | Train Acc: 10.43% | Val Loss: 2.5533 | Val Acc: 10.55%
Epoch 2 | Train Loss: 2.5517 | Train Acc: 10.43% | Val Loss: 2.5453 | Val Acc: 10.55%
Epoch 3 | Train Loss: 2.5439 | Train Acc: 10.43% | Val Loss: 2.5375 | Val Acc: 10.55%
Epoch 4 | Train Loss: 2.5363 | Train Acc: 10.43% | Val Loss: 2.5301 | Val Acc: 10.55%
Epoch 5 | Train Loss: 2.5290 | Train Acc: 10.43% | Val Loss: 2.5230 | Val Acc: 10.55%
Epoch 6 | Train Loss: 2.5220 | Train Acc: 10.43% | Val Loss: 2.5161 | Val Acc: 10.55%
Epoch 7 | Train Loss: 2.5153 | Train Acc: 10.43% | Val Loss: 2.5095 | Val Acc: 10.55%
Epoch 8 | Train Loss: 2.5088 | Train Acc: 10.43% | Val Loss: 2.5031 | Val Acc: 10.55%
Epoch 9 | Train Loss: 2.5025 | Train Acc: 10.43% | Val Loss: 2.4969 | Val Acc: 10.55%
Epoch 10 | Train Loss: 2.4965 | Train Acc: 10.43% | Val Loss: 2.4910 | Val Acc: 10.55%
10.549999999999999 10.280000000000001
