Epoch 1 | Train Loss: 2.0084 | Train Acc: 23.18% | Val Loss: 2.0069 | Val Acc: 23.20%
Epoch 2 | Train Loss: 1.9201 | Train Acc: 24.90% | Val Loss: 1.9187 | Val Acc: 25.13%
Epoch 3 | Train Loss: 1.8938 | Train Acc: 25.27% | Val Loss: 1.8923 | Val Acc: 24.85%
Epoch 4 | Train Loss: 1.8875 | Train Acc: 27.01% | Val Loss: 1.8877 | Val Acc: 26.40%
Epoch 5 | Train Loss: 1.8591 | Train Acc: 26.46% | Val Loss: 1.8582 | Val Acc: 26.13%
Epoch 6 | Train Loss: 1.8538 | Train Acc: 26.02% | Val Loss: 1.8537 | Val Acc: 25.85%
Epoch 7 | Train Loss: 1.8476 | Train Acc: 30.32% | Val Loss: 1.8453 | Val Acc: 30.17%
Epoch 8 | Train Loss: 1.8406 | Train Acc: 28.79% | Val Loss: 1.8386 | Val Acc: 28.60%
Epoch 9 | Train Loss: 1.8410 | Train Acc: 29.03% | Val Loss: 1.8373 | Val Acc: 29.20%
Epoch 10 | Train Loss: 1.8436 | Train Acc: 29.59% | Val Loss: 1.8422 | Val Acc: 29.60%
29.599999999999998 29.28
