Epoch 1 | Train Loss: 1.4019 | Train Acc: 24.22% | Val Loss: 1.4054 | Val Acc: 24.00%
Epoch 2 | Train Loss: 1.0908 | Train Acc: 36.52% | Val Loss: 1.0944 | Val Acc: 36.60%
Epoch 3 | Train Loss: 0.9325 | Train Acc: 46.50% | Val Loss: 0.9360 | Val Acc: 46.28%
Epoch 4 | Train Loss: 0.8353 | Train Acc: 53.76% | Val Loss: 0.8387 | Val Acc: 53.17%
Epoch 5 | Train Loss: 0.7688 | Train Acc: 58.95% | Val Loss: 0.7723 | Val Acc: 58.70%
Epoch 6 | Train Loss: 0.7200 | Train Acc: 62.83% | Val Loss: 0.7233 | Val Acc: 62.80%
Epoch 7 | Train Loss: 0.6824 | Train Acc: 65.79% | Val Loss: 0.6856 | Val Acc: 65.65%
Epoch 8 | Train Loss: 0.6526 | Train Acc: 68.15% | Val Loss: 0.6557 | Val Acc: 68.15%
Epoch 9 | Train Loss: 0.6281 | Train Acc: 70.07% | Val Loss: 0.6312 | Val Acc: 70.18%
Epoch 10 | Train Loss: 0.6078 | Train Acc: 71.71% | Val Loss: 0.6108 | Val Acc: 71.58%
71.58333333333333 72.85000000000001
