Epoch 1 | Train Loss: 1.5807 | Train Acc: 11.95% | Val Loss: 1.5880 | Val Acc: 12.03%
Epoch 2 | Train Loss: 1.3130 | Train Acc: 21.29% | Val Loss: 1.3201 | Val Acc: 20.97%
Epoch 3 | Train Loss: 1.1558 | Train Acc: 29.79% | Val Loss: 1.1624 | Val Acc: 29.40%
Epoch 4 | Train Loss: 1.0507 | Train Acc: 36.46% | Val Loss: 1.0567 | Val Acc: 35.78%
Epoch 5 | Train Loss: 0.9742 | Train Acc: 41.79% | Val Loss: 0.9797 | Val Acc: 41.75%
Epoch 6 | Train Loss: 0.9154 | Train Acc: 46.16% | Val Loss: 0.9206 | Val Acc: 46.25%
Epoch 7 | Train Loss: 0.8685 | Train Acc: 49.82% | Val Loss: 0.8732 | Val Acc: 49.47%
Epoch 8 | Train Loss: 0.8299 | Train Acc: 52.93% | Val Loss: 0.8343 | Val Acc: 52.58%
Epoch 9 | Train Loss: 0.7975 | Train Acc: 55.58% | Val Loss: 0.8017 | Val Acc: 55.12%
Epoch 10 | Train Loss: 0.7699 | Train Acc: 57.87% | Val Loss: 0.7737 | Val Acc: 57.52%
57.51666666666667 58.440000000000005
