Epoch 1 | Train Loss: 0.6182 | Train Acc: 66.44% | Val Loss: 0.6241 | Val Acc: 65.55%
Epoch 2 | Train Loss: 0.5255 | Train Acc: 72.21% | Val Loss: 0.5311 | Val Acc: 71.47%
Epoch 3 | Train Loss: 0.4807 | Train Acc: 75.06% | Val Loss: 0.4858 | Val Acc: 74.08%
Epoch 4 | Train Loss: 0.4518 | Train Acc: 76.23% | Val Loss: 0.4569 | Val Acc: 75.55%
Epoch 5 | Train Loss: 0.4316 | Train Acc: 77.11% | Val Loss: 0.4365 | Val Acc: 76.65%
Epoch 6 | Train Loss: 0.4162 | Train Acc: 77.94% | Val Loss: 0.4207 | Val Acc: 77.57%
Epoch 7 | Train Loss: 0.4037 | Train Acc: 78.25% | Val Loss: 0.4080 | Val Acc: 78.13%
Epoch 8 | Train Loss: 0.3934 | Train Acc: 78.71% | Val Loss: 0.3978 | Val Acc: 78.38%
Epoch 9 | Train Loss: 0.3843 | Train Acc: 79.12% | Val Loss: 0.3884 | Val Acc: 78.75%
Epoch 10 | Train Loss: 0.3773 | Train Acc: 79.43% | Val Loss: 0.3815 | Val Acc: 79.02%
79.01666666666667 78.29
