Epoch 1 | Train Loss: 0.7204 | Train Acc: 59.49% | Val Loss: 0.7272 | Val Acc: 58.38%
Epoch 2 | Train Loss: 0.6135 | Train Acc: 66.85% | Val Loss: 0.6202 | Val Acc: 66.28%
Epoch 3 | Train Loss: 0.5615 | Train Acc: 69.89% | Val Loss: 0.5678 | Val Acc: 69.38%
Epoch 4 | Train Loss: 0.5284 | Train Acc: 71.85% | Val Loss: 0.5346 | Val Acc: 71.20%
Epoch 5 | Train Loss: 0.5051 | Train Acc: 73.24% | Val Loss: 0.5110 | Val Acc: 72.63%
Epoch 6 | Train Loss: 0.4872 | Train Acc: 73.84% | Val Loss: 0.4930 | Val Acc: 73.48%
Epoch 7 | Train Loss: 0.4728 | Train Acc: 74.53% | Val Loss: 0.4785 | Val Acc: 74.13%
Epoch 8 | Train Loss: 0.4609 | Train Acc: 75.18% | Val Loss: 0.4664 | Val Acc: 74.73%
Epoch 9 | Train Loss: 0.4508 | Train Acc: 75.54% | Val Loss: 0.4564 | Val Acc: 74.98%
Epoch 10 | Train Loss: 0.4420 | Train Acc: 76.08% | Val Loss: 0.4475 | Val Acc: 75.58%
75.58333333333334 75.64
