Epoch 1 | Train Loss: 1.0298 | Train Acc: 76.35% | Val Loss: 1.0346 | Val Acc: 76.32%
Epoch 2 | Train Loss: 0.7211 | Train Acc: 83.53% | Val Loss: 0.7215 | Val Acc: 83.37%
Epoch 3 | Train Loss: 0.5896 | Train Acc: 85.74% | Val Loss: 0.5874 | Val Acc: 85.72%
Epoch 4 | Train Loss: 0.5157 | Train Acc: 87.02% | Val Loss: 0.5118 | Val Acc: 87.28%
Epoch 5 | Train Loss: 0.4677 | Train Acc: 87.99% | Val Loss: 0.4628 | Val Acc: 88.23%
Epoch 6 | Train Loss: 0.4340 | Train Acc: 88.63% | Val Loss: 0.4286 | Val Acc: 89.07%
Epoch 7 | Train Loss: 0.4087 | Train Acc: 89.09% | Val Loss: 0.4026 | Val Acc: 89.48%
Epoch 8 | Train Loss: 0.3890 | Train Acc: 89.47% | Val Loss: 0.3830 | Val Acc: 89.85%
Epoch 9 | Train Loss: 0.3730 | Train Acc: 89.82% | Val Loss: 0.3668 | Val Acc: 90.05%
Epoch 10 | Train Loss: 0.3596 | Train Acc: 90.14% | Val Loss: 0.3533 | Val Acc: 90.30%
90.3 90.68
