Epoch 1 | Train Loss: 1.1614 | Train Acc: 74.11% | Val Loss: 1.1679 | Val Acc: 73.72%
Epoch 2 | Train Loss: 0.8194 | Train Acc: 81.39% | Val Loss: 0.8239 | Val Acc: 81.02%
Epoch 3 | Train Loss: 0.6683 | Train Acc: 84.21% | Val Loss: 0.6708 | Val Acc: 84.33%
Epoch 4 | Train Loss: 0.5816 | Train Acc: 85.91% | Val Loss: 0.5822 | Val Acc: 86.32%
Epoch 5 | Train Loss: 0.5251 | Train Acc: 86.89% | Val Loss: 0.5241 | Val Acc: 87.35%
Epoch 6 | Train Loss: 0.4852 | Train Acc: 87.70% | Val Loss: 0.4833 | Val Acc: 88.03%
Epoch 7 | Train Loss: 0.4555 | Train Acc: 88.19% | Val Loss: 0.4528 | Val Acc: 88.58%
Epoch 8 | Train Loss: 0.4325 | Train Acc: 88.62% | Val Loss: 0.4292 | Val Acc: 88.98%
Epoch 9 | Train Loss: 0.4138 | Train Acc: 89.00% | Val Loss: 0.4101 | Val Acc: 89.57%
Epoch 10 | Train Loss: 0.3985 | Train Acc: 89.31% | Val Loss: 0.3942 | Val Acc: 89.77%
89.76666666666667 89.84
