Epoch 1 | Train Loss: 0.4697 | Train Acc: 73.98% | Val Loss: 0.4755 | Val Acc: 73.23%
Epoch 2 | Train Loss: 0.4090 | Train Acc: 77.16% | Val Loss: 0.4147 | Val Acc: 76.75%
Epoch 3 | Train Loss: 0.3773 | Train Acc: 79.00% | Val Loss: 0.3830 | Val Acc: 78.13%
Epoch 4 | Train Loss: 0.3605 | Train Acc: 79.74% | Val Loss: 0.3658 | Val Acc: 79.15%
Epoch 5 | Train Loss: 0.3456 | Train Acc: 80.42% | Val Loss: 0.3508 | Val Acc: 79.78%
Epoch 6 | Train Loss: 0.3369 | Train Acc: 81.23% | Val Loss: 0.3420 | Val Acc: 80.75%
Epoch 7 | Train Loss: 0.3270 | Train Acc: 81.75% | Val Loss: 0.3319 | Val Acc: 81.08%
Epoch 8 | Train Loss: 0.3212 | Train Acc: 82.20% | Val Loss: 0.3262 | Val Acc: 81.47%
Epoch 9 | Train Loss: 0.3143 | Train Acc: 82.41% | Val Loss: 0.3191 | Val Acc: 81.68%
Epoch 10 | Train Loss: 0.3065 | Train Acc: 82.61% | Val Loss: 0.3115 | Val Acc: 82.08%
82.08333333333333 81.47
