Epoch 1 | Train Loss: 1.9830 | Train Acc: 40.58% | Val Loss: 1.9844 | Val Acc: 41.07%
Epoch 2 | Train Loss: 1.6652 | Train Acc: 60.44% | Val Loss: 1.6677 | Val Acc: 60.28%
Epoch 3 | Train Loss: 1.4250 | Train Acc: 68.60% | Val Loss: 1.4289 | Val Acc: 68.10%
Epoch 4 | Train Loss: 1.2448 | Train Acc: 72.86% | Val Loss: 1.2495 | Val Acc: 72.32%
Epoch 5 | Train Loss: 1.1090 | Train Acc: 75.72% | Val Loss: 1.1141 | Val Acc: 75.32%
Epoch 6 | Train Loss: 1.0049 | Train Acc: 77.87% | Val Loss: 1.0100 | Val Acc: 77.62%
Epoch 7 | Train Loss: 0.9234 | Train Acc: 79.59% | Val Loss: 0.9283 | Val Acc: 79.15%
Epoch 8 | Train Loss: 0.8581 | Train Acc: 80.92% | Val Loss: 0.8629 | Val Acc: 80.37%
Epoch 9 | Train Loss: 0.8048 | Train Acc: 81.85% | Val Loss: 0.8093 | Val Acc: 81.38%
Epoch 10 | Train Loss: 0.7603 | Train Acc: 82.75% | Val Loss: 0.7645 | Val Acc: 82.55%
82.55 83.86
