Epoch 1 | Train Loss: 0.5775 | Train Acc: 80.63% | Val Loss: 0.5849 | Val Acc: 79.98%
Epoch 2 | Train Loss: 0.4880 | Train Acc: 82.97% | Val Loss: 0.4942 | Val Acc: 82.58%
Epoch 3 | Train Loss: 0.4507 | Train Acc: 84.14% | Val Loss: 0.4575 | Val Acc: 83.42%
Epoch 4 | Train Loss: 0.4309 | Train Acc: 84.98% | Val Loss: 0.4363 | Val Acc: 84.43%
Epoch 5 | Train Loss: 0.4136 | Train Acc: 85.47% | Val Loss: 0.4190 | Val Acc: 84.72%
Epoch 6 | Train Loss: 0.3970 | Train Acc: 85.91% | Val Loss: 0.4032 | Val Acc: 85.13%
Epoch 7 | Train Loss: 0.3863 | Train Acc: 86.33% | Val Loss: 0.3954 | Val Acc: 85.60%
Epoch 8 | Train Loss: 0.3772 | Train Acc: 86.71% | Val Loss: 0.3859 | Val Acc: 85.80%
Epoch 9 | Train Loss: 0.3688 | Train Acc: 86.97% | Val Loss: 0.3782 | Val Acc: 86.08%
Epoch 10 | Train Loss: 0.3627 | Train Acc: 87.12% | Val Loss: 0.3754 | Val Acc: 86.37%
86.36666666666667 85.49
