Epoch 1 | Train Loss: 1.7297 | Train Acc: 56.73% | Val Loss: 1.7339 | Val Acc: 56.32%
Epoch 2 | Train Loss: 1.3627 | Train Acc: 70.90% | Val Loss: 1.3687 | Val Acc: 70.62%
Epoch 3 | Train Loss: 1.1411 | Train Acc: 76.21% | Val Loss: 1.1473 | Val Acc: 75.83%
Epoch 4 | Train Loss: 0.9947 | Train Acc: 79.07% | Val Loss: 1.0002 | Val Acc: 78.70%
Epoch 5 | Train Loss: 0.8914 | Train Acc: 80.97% | Val Loss: 0.8963 | Val Acc: 80.98%
Epoch 6 | Train Loss: 0.8144 | Train Acc: 82.28% | Val Loss: 0.8187 | Val Acc: 82.33%
Epoch 7 | Train Loss: 0.7552 | Train Acc: 83.32% | Val Loss: 0.7589 | Val Acc: 83.38%
Epoch 8 | Train Loss: 0.7081 | Train Acc: 84.14% | Val Loss: 0.7111 | Val Acc: 83.93%
Epoch 9 | Train Loss: 0.6697 | Train Acc: 84.82% | Val Loss: 0.6723 | Val Acc: 84.70%
Epoch 10 | Train Loss: 0.6378 | Train Acc: 85.30% | Val Loss: 0.6399 | Val Acc: 85.22%
85.21666666666667 86.41
