Epoch 1 | Train Loss: 2.3602 | Train Acc: 5.37% | Val Loss: 2.3656 | Val Acc: 5.62%
Epoch 2 | Train Loss: 2.3013 | Train Acc: 8.28% | Val Loss: 2.3059 | Val Acc: 8.37%
Epoch 3 | Train Loss: 2.2471 | Train Acc: 12.90% | Val Loss: 2.2510 | Val Acc: 12.90%
Epoch 4 | Train Loss: 2.1967 | Train Acc: 18.35% | Val Loss: 2.2000 | Val Acc: 18.47%
Epoch 5 | Train Loss: 2.1495 | Train Acc: 23.92% | Val Loss: 2.1525 | Val Acc: 23.88%
Epoch 6 | Train Loss: 2.1048 | Train Acc: 29.09% | Val Loss: 2.1075 | Val Acc: 28.97%
Epoch 7 | Train Loss: 2.0622 | Train Acc: 33.80% | Val Loss: 2.0647 | Val Acc: 33.90%
Epoch 8 | Train Loss: 2.0212 | Train Acc: 37.83% | Val Loss: 2.0236 | Val Acc: 37.77%
Epoch 9 | Train Loss: 1.9815 | Train Acc: 41.17% | Val Loss: 1.9839 | Val Acc: 40.92%
Epoch 10 | Train Loss: 1.9429 | Train Acc: 43.97% | Val Loss: 1.9454 | Val Acc: 43.78%
43.78333333333334 44.440000000000005
