Epoch 1 | Train Loss: 0.3442 | Train Acc: 90.77% | Val Loss: 0.3426 | Val Acc: 90.85%
Epoch 2 | Train Loss: 0.2307 | Train Acc: 93.47% | Val Loss: 0.2479 | Val Acc: 93.13%
Epoch 3 | Train Loss: 0.1995 | Train Acc: 94.53% | Val Loss: 0.2357 | Val Acc: 93.43%
Epoch 4 | Train Loss: 0.1794 | Train Acc: 94.92% | Val Loss: 0.2129 | Val Acc: 94.45%
Epoch 5 | Train Loss: 0.1514 | Train Acc: 95.77% | Val Loss: 0.1801 | Val Acc: 94.97%
Epoch 6 | Train Loss: 0.1503 | Train Acc: 95.84% | Val Loss: 0.1804 | Val Acc: 95.33%
Epoch 7 | Train Loss: 0.1496 | Train Acc: 95.99% | Val Loss: 0.1944 | Val Acc: 94.60%
Epoch 8 | Train Loss: 0.1483 | Train Acc: 95.96% | Val Loss: 0.1942 | Val Acc: 94.80%
Epoch 9 | Train Loss: 0.1152 | Train Acc: 96.84% | Val Loss: 0.1578 | Val Acc: 95.90%
Epoch 10 | Train Loss: 0.0971 | Train Acc: 97.32% | Val Loss: 0.1550 | Val Acc: 95.98%
95.98333333333333 95.76
