Epoch 1 | Train Loss: 0.2161 | Train Acc: 93.89% | Val Loss: 0.2197 | Val Acc: 93.60%
Epoch 2 | Train Loss: 0.1725 | Train Acc: 95.14% | Val Loss: 0.1824 | Val Acc: 94.60%
Epoch 3 | Train Loss: 0.1403 | Train Acc: 96.03% | Val Loss: 0.1543 | Val Acc: 95.53%
Epoch 4 | Train Loss: 0.1203 | Train Acc: 96.71% | Val Loss: 0.1385 | Val Acc: 96.03%
Epoch 5 | Train Loss: 0.1045 | Train Acc: 97.18% | Val Loss: 0.1262 | Val Acc: 96.37%
Epoch 6 | Train Loss: 0.0939 | Train Acc: 97.37% | Val Loss: 0.1175 | Val Acc: 96.43%
Epoch 7 | Train Loss: 0.0838 | Train Acc: 97.71% | Val Loss: 0.1108 | Val Acc: 96.77%
Epoch 8 | Train Loss: 0.0729 | Train Acc: 98.11% | Val Loss: 0.1057 | Val Acc: 97.00%
Epoch 9 | Train Loss: 0.0654 | Train Acc: 98.28% | Val Loss: 0.0989 | Val Acc: 97.15%
Epoch 10 | Train Loss: 0.0588 | Train Acc: 98.51% | Val Loss: 0.0979 | Val Acc: 97.23%
97.23333333333333 97.08
