Epoch 1 | Train Loss: 0.2461 | Train Acc: 91.26% | Val Loss: 0.2454 | Val Acc: 91.87%
Epoch 2 | Train Loss: 0.2019 | Train Acc: 93.32% | Val Loss: 0.2034 | Val Acc: 93.37%
Epoch 3 | Train Loss: 0.1565 | Train Acc: 94.69% | Val Loss: 0.1592 | Val Acc: 94.35%
Epoch 4 | Train Loss: 0.1508 | Train Acc: 95.25% | Val Loss: 0.1542 | Val Acc: 94.97%
Epoch 5 | Train Loss: 0.1410 | Train Acc: 95.51% | Val Loss: 0.1442 | Val Acc: 95.40%
Epoch 6 | Train Loss: 0.1218 | Train Acc: 96.23% | Val Loss: 0.1264 | Val Acc: 95.82%
Epoch 7 | Train Loss: 0.1053 | Train Acc: 96.42% | Val Loss: 0.1106 | Val Acc: 95.97%
Epoch 8 | Train Loss: 0.1048 | Train Acc: 96.76% | Val Loss: 0.1103 | Val Acc: 96.52%
Epoch 9 | Train Loss: 0.0935 | Train Acc: 96.90% | Val Loss: 0.0997 | Val Acc: 96.53%
Epoch 10 | Train Loss: 0.1076 | Train Acc: 96.90% | Val Loss: 0.1152 | Val Acc: 96.45%
96.45 96.23
