Epoch 1 | Train Loss: 0.1655 | Train Acc: 95.31% | Val Loss: 0.1783 | Val Acc: 94.82%
Epoch 2 | Train Loss: 0.1405 | Train Acc: 95.75% | Val Loss: 0.1598 | Val Acc: 94.95%
Epoch 3 | Train Loss: 0.0812 | Train Acc: 97.74% | Val Loss: 0.1118 | Val Acc: 96.73%
Epoch 4 | Train Loss: 0.0621 | Train Acc: 98.26% | Val Loss: 0.1011 | Val Acc: 96.93%
Epoch 5 | Train Loss: 0.0500 | Train Acc: 98.61% | Val Loss: 0.0961 | Val Acc: 97.20%
Epoch 6 | Train Loss: 0.0537 | Train Acc: 98.42% | Val Loss: 0.1021 | Val Acc: 96.85%
Epoch 7 | Train Loss: 0.0336 | Train Acc: 99.09% | Val Loss: 0.0913 | Val Acc: 97.32%
Epoch 8 | Train Loss: 0.0287 | Train Acc: 99.21% | Val Loss: 0.0892 | Val Acc: 97.52%
Epoch 9 | Train Loss: 0.0251 | Train Acc: 99.30% | Val Loss: 0.0928 | Val Acc: 97.43%
Epoch 10 | Train Loss: 0.0380 | Train Acc: 98.89% | Val Loss: 0.1124 | Val Acc: 96.93%
96.93333333333334 96.8
