Epoch 1 | Train Loss: 0.3593 | Train Acc: 86.77% | Val Loss: 0.3628 | Val Acc: 86.93%
Epoch 2 | Train Loss: 0.3436 | Train Acc: 86.56% | Val Loss: 0.3462 | Val Acc: 86.77%
Epoch 3 | Train Loss: 0.3345 | Train Acc: 87.97% | Val Loss: 0.3373 | Val Acc: 88.32%
Epoch 4 | Train Loss: 0.3277 | Train Acc: 87.43% | Val Loss: 0.3304 | Val Acc: 87.43%
Epoch 5 | Train Loss: 0.3169 | Train Acc: 88.16% | Val Loss: 0.3196 | Val Acc: 88.52%
Epoch 6 | Train Loss: 0.3067 | Train Acc: 88.53% | Val Loss: 0.3093 | Val Acc: 88.65%
Epoch 7 | Train Loss: 0.3007 | Train Acc: 88.40% | Val Loss: 0.3034 | Val Acc: 88.32%
Epoch 8 | Train Loss: 0.2929 | Train Acc: 88.50% | Val Loss: 0.2945 | Val Acc: 88.57%
Epoch 9 | Train Loss: 0.2871 | Train Acc: 88.57% | Val Loss: 0.2889 | Val Acc: 88.58%
Epoch 10 | Train Loss: 0.2829 | Train Acc: 88.56% | Val Loss: 0.2848 | Val Acc: 88.60%
88.6 89.55
