Epoch 1 | Train Loss: 0.2502 | Train Acc: 89.88% | Val Loss: 0.2493 | Val Acc: 90.47%
Epoch 2 | Train Loss: 0.1943 | Train Acc: 91.76% | Val Loss: 0.1926 | Val Acc: 91.67%
Epoch 3 | Train Loss: 0.1607 | Train Acc: 92.79% | Val Loss: 0.1596 | Val Acc: 92.98%
Epoch 4 | Train Loss: 0.1473 | Train Acc: 93.46% | Val Loss: 0.1473 | Val Acc: 93.53%
Epoch 5 | Train Loss: 0.1380 | Train Acc: 93.82% | Val Loss: 0.1391 | Val Acc: 93.65%
Epoch 6 | Train Loss: 0.1298 | Train Acc: 94.20% | Val Loss: 0.1316 | Val Acc: 93.65%
Epoch 7 | Train Loss: 0.1213 | Train Acc: 94.58% | Val Loss: 0.1240 | Val Acc: 93.95%
Epoch 8 | Train Loss: 0.1185 | Train Acc: 95.04% | Val Loss: 0.1227 | Val Acc: 94.30%
Epoch 9 | Train Loss: 0.1131 | Train Acc: 95.12% | Val Loss: 0.1171 | Val Acc: 94.55%
Epoch 10 | Train Loss: 0.1086 | Train Acc: 95.35% | Val Loss: 0.1133 | Val Acc: 94.47%
94.46666666666667 94.89
