Epoch 1 | Train Loss: 0.5532 | Train Acc: 86.37% | Val Loss: 0.5525 | Val Acc: 86.27%
Epoch 2 | Train Loss: 0.4116 | Train Acc: 88.99% | Val Loss: 0.4091 | Val Acc: 88.88%
Epoch 3 | Train Loss: 0.3558 | Train Acc: 90.11% | Val Loss: 0.3526 | Val Acc: 90.20%
Epoch 4 | Train Loss: 0.3246 | Train Acc: 90.81% | Val Loss: 0.3224 | Val Acc: 91.12%
Epoch 5 | Train Loss: 0.3020 | Train Acc: 91.40% | Val Loss: 0.3003 | Val Acc: 91.73%
Epoch 6 | Train Loss: 0.2854 | Train Acc: 91.94% | Val Loss: 0.2851 | Val Acc: 92.07%
Epoch 7 | Train Loss: 0.2715 | Train Acc: 92.31% | Val Loss: 0.2715 | Val Acc: 92.08%
Epoch 8 | Train Loss: 0.2589 | Train Acc: 92.67% | Val Loss: 0.2601 | Val Acc: 92.35%
Epoch 9 | Train Loss: 0.2486 | Train Acc: 92.96% | Val Loss: 0.2504 | Val Acc: 92.68%
Epoch 10 | Train Loss: 0.2382 | Train Acc: 93.29% | Val Loss: 0.2410 | Val Acc: 92.93%
92.93333333333334 93.28999999999999
