Epoch 1 | Train Loss: 0.8093 | Train Acc: 55.75% | Val Loss: 0.8128 | Val Acc: 54.97%
Epoch 2 | Train Loss: 0.6592 | Train Acc: 68.46% | Val Loss: 0.6609 | Val Acc: 68.30%
Epoch 3 | Train Loss: 0.5923 | Train Acc: 73.82% | Val Loss: 0.5936 | Val Acc: 73.15%
Epoch 4 | Train Loss: 0.5521 | Train Acc: 76.64% | Val Loss: 0.5536 | Val Acc: 76.35%
Epoch 5 | Train Loss: 0.5244 | Train Acc: 78.39% | Val Loss: 0.5260 | Val Acc: 78.13%
Epoch 6 | Train Loss: 0.5035 | Train Acc: 79.84% | Val Loss: 0.5052 | Val Acc: 79.60%
Epoch 7 | Train Loss: 0.4871 | Train Acc: 80.84% | Val Loss: 0.4887 | Val Acc: 80.57%
Epoch 8 | Train Loss: 0.4735 | Train Acc: 81.56% | Val Loss: 0.4754 | Val Acc: 81.27%
Epoch 9 | Train Loss: 0.4619 | Train Acc: 82.19% | Val Loss: 0.4638 | Val Acc: 81.80%
Epoch 10 | Train Loss: 0.4519 | Train Acc: 82.70% | Val Loss: 0.4539 | Val Acc: 82.57%
82.56666666666666 83.83
