Epoch 1 | Train Loss: 0.2331 | Train Acc: 91.65% | Val Loss: 0.2326 | Val Acc: 91.87%
Epoch 2 | Train Loss: 0.1757 | Train Acc: 93.54% | Val Loss: 0.1764 | Val Acc: 93.75%
Epoch 3 | Train Loss: 0.1809 | Train Acc: 93.89% | Val Loss: 0.1832 | Val Acc: 93.82%
Epoch 4 | Train Loss: 0.1687 | Train Acc: 94.56% | Val Loss: 0.1708 | Val Acc: 94.55%
Epoch 5 | Train Loss: 0.1285 | Train Acc: 95.39% | Val Loss: 0.1327 | Val Acc: 94.83%
Epoch 6 | Train Loss: 0.1187 | Train Acc: 95.77% | Val Loss: 0.1242 | Val Acc: 95.22%
Epoch 7 | Train Loss: 0.1147 | Train Acc: 96.13% | Val Loss: 0.1207 | Val Acc: 95.43%
Epoch 8 | Train Loss: 0.1077 | Train Acc: 96.46% | Val Loss: 0.1147 | Val Acc: 95.82%
Epoch 9 | Train Loss: 0.1110 | Train Acc: 96.62% | Val Loss: 0.1178 | Val Acc: 95.90%
Epoch 10 | Train Loss: 0.0865 | Train Acc: 96.72% | Val Loss: 0.0948 | Val Acc: 96.03%
96.03333333333333 96.12
