Epoch 1 | Train Loss: 0.5025 | Train Acc: 75.30% | Val Loss: 0.5106 | Val Acc: 75.02%
Epoch 2 | Train Loss: 0.4890 | Train Acc: 71.74% | Val Loss: 0.4958 | Val Acc: 71.22%
Epoch 3 | Train Loss: 0.4554 | Train Acc: 72.60% | Val Loss: 0.4623 | Val Acc: 71.98%
Epoch 4 | Train Loss: 0.4686 | Train Acc: 73.74% | Val Loss: 0.4752 | Val Acc: 73.18%
Epoch 5 | Train Loss: 0.4768 | Train Acc: 72.52% | Val Loss: 0.4834 | Val Acc: 72.23%
Epoch 6 | Train Loss: 0.4861 | Train Acc: 70.53% | Val Loss: 0.4921 | Val Acc: 70.22%
Epoch 7 | Train Loss: 0.4934 | Train Acc: 71.98% | Val Loss: 0.4998 | Val Acc: 71.38%
Epoch 8 | Train Loss: 0.4890 | Train Acc: 68.03% | Val Loss: 0.4969 | Val Acc: 66.95%
Epoch 9 | Train Loss: 0.5039 | Train Acc: 69.08% | Val Loss: 0.5105 | Val Acc: 69.03%
Epoch 10 | Train Loss: 0.4953 | Train Acc: 66.99% | Val Loss: 0.5034 | Val Acc: 66.32%
66.31666666666666 67.05
