Epoch 1 | Train Loss: 0.2482 | Train Acc: 93.63% | Val Loss: 0.2500 | Val Acc: 93.37%
Epoch 2 | Train Loss: 0.1685 | Train Acc: 95.42% | Val Loss: 0.1693 | Val Acc: 95.30%
Epoch 3 | Train Loss: 0.1315 | Train Acc: 96.44% | Val Loss: 0.1413 | Val Acc: 95.92%
Epoch 4 | Train Loss: 0.1048 | Train Acc: 97.12% | Val Loss: 0.1163 | Val Acc: 96.58%
Epoch 5 | Train Loss: 0.0879 | Train Acc: 97.62% | Val Loss: 0.1054 | Val Acc: 96.77%
Epoch 6 | Train Loss: 0.0723 | Train Acc: 98.09% | Val Loss: 0.0939 | Val Acc: 97.15%
Epoch 7 | Train Loss: 0.0628 | Train Acc: 98.32% | Val Loss: 0.0875 | Val Acc: 97.32%
Epoch 8 | Train Loss: 0.0508 | Train Acc: 98.66% | Val Loss: 0.0824 | Val Acc: 97.65%
Epoch 9 | Train Loss: 0.0462 | Train Acc: 98.77% | Val Loss: 0.0829 | Val Acc: 97.50%
Epoch 10 | Train Loss: 0.0382 | Train Acc: 99.03% | Val Loss: 0.0819 | Val Acc: 97.58%
97.58333333333333 97.33000000000001
