Epoch 1 | Train Loss: 1.1331 | Train Acc: 76.02% | Val Loss: 1.1368 | Val Acc: 75.43%
Epoch 2 | Train Loss: 0.7913 | Train Acc: 82.49% | Val Loss: 0.7916 | Val Acc: 82.40%
Epoch 3 | Train Loss: 0.6395 | Train Acc: 85.21% | Val Loss: 0.6375 | Val Acc: 85.22%
Epoch 4 | Train Loss: 0.5543 | Train Acc: 86.61% | Val Loss: 0.5510 | Val Acc: 86.53%
Epoch 5 | Train Loss: 0.4997 | Train Acc: 87.48% | Val Loss: 0.4955 | Val Acc: 87.50%
Epoch 6 | Train Loss: 0.4617 | Train Acc: 88.06% | Val Loss: 0.4573 | Val Acc: 88.18%
Epoch 7 | Train Loss: 0.4337 | Train Acc: 88.52% | Val Loss: 0.4291 | Val Acc: 88.65%
Epoch 8 | Train Loss: 0.4120 | Train Acc: 89.00% | Val Loss: 0.4076 | Val Acc: 89.12%
Epoch 9 | Train Loss: 0.3946 | Train Acc: 89.32% | Val Loss: 0.3903 | Val Acc: 89.50%
Epoch 10 | Train Loss: 0.3803 | Train Acc: 89.63% | Val Loss: 0.3760 | Val Acc: 89.68%
89.68333333333334 90.32
