Epoch 1 | Train Loss: 0.3581 | Train Acc: 77.85% | Val Loss: 0.3653 | Val Acc: 77.52%
Epoch 2 | Train Loss: 0.3018 | Train Acc: 81.69% | Val Loss: 0.3087 | Val Acc: 81.32%
Epoch 3 | Train Loss: 0.2696 | Train Acc: 83.36% | Val Loss: 0.2763 | Val Acc: 82.78%
Epoch 4 | Train Loss: 0.2539 | Train Acc: 84.39% | Val Loss: 0.2601 | Val Acc: 83.92%
Epoch 5 | Train Loss: 0.2460 | Train Acc: 84.68% | Val Loss: 0.2521 | Val Acc: 84.38%
Epoch 6 | Train Loss: 0.2342 | Train Acc: 85.41% | Val Loss: 0.2416 | Val Acc: 84.75%
Epoch 7 | Train Loss: 0.2322 | Train Acc: 85.53% | Val Loss: 0.2388 | Val Acc: 85.03%
Epoch 8 | Train Loss: 0.2280 | Train Acc: 85.91% | Val Loss: 0.2361 | Val Acc: 85.13%
Epoch 9 | Train Loss: 0.2248 | Train Acc: 86.11% | Val Loss: 0.2326 | Val Acc: 85.58%
Epoch 10 | Train Loss: 0.2154 | Train Acc: 86.52% | Val Loss: 0.2238 | Val Acc: 85.93%
85.93333333333332 85.05
