Epoch 1 | Train Loss: 0.2923 | Train Acc: 89.79% | Val Loss: 0.2929 | Val Acc: 90.07%
Epoch 2 | Train Loss: 0.2251 | Train Acc: 92.07% | Val Loss: 0.2269 | Val Acc: 91.97%
Epoch 3 | Train Loss: 0.1914 | Train Acc: 93.15% | Val Loss: 0.1931 | Val Acc: 92.93%
Epoch 4 | Train Loss: 0.1710 | Train Acc: 93.93% | Val Loss: 0.1733 | Val Acc: 93.83%
Epoch 5 | Train Loss: 0.1537 | Train Acc: 94.45% | Val Loss: 0.1563 | Val Acc: 94.28%
Epoch 6 | Train Loss: 0.1415 | Train Acc: 94.96% | Val Loss: 0.1453 | Val Acc: 94.73%
Epoch 7 | Train Loss: 0.1358 | Train Acc: 95.24% | Val Loss: 0.1405 | Val Acc: 94.75%
Epoch 8 | Train Loss: 0.1245 | Train Acc: 95.60% | Val Loss: 0.1293 | Val Acc: 95.22%
Epoch 9 | Train Loss: 0.1166 | Train Acc: 95.82% | Val Loss: 0.1216 | Val Acc: 95.40%
Epoch 10 | Train Loss: 0.1105 | Train Acc: 96.02% | Val Loss: 0.1157 | Val Acc: 95.77%
95.76666666666667 95.76
