Epoch 1 | Train Loss: 0.2083 | Train Acc: 91.75% | Val Loss: 0.2088 | Val Acc: 91.88%
Epoch 2 | Train Loss: 0.1474 | Train Acc: 94.06% | Val Loss: 0.1492 | Val Acc: 94.15%
Epoch 3 | Train Loss: 0.1369 | Train Acc: 95.00% | Val Loss: 0.1395 | Val Acc: 94.92%
Epoch 4 | Train Loss: 0.1096 | Train Acc: 95.71% | Val Loss: 0.1132 | Val Acc: 95.42%
Epoch 5 | Train Loss: 0.1042 | Train Acc: 96.10% | Val Loss: 0.1088 | Val Acc: 95.72%
Epoch 6 | Train Loss: 0.0859 | Train Acc: 96.73% | Val Loss: 0.0920 | Val Acc: 96.12%
Epoch 7 | Train Loss: 0.0883 | Train Acc: 96.89% | Val Loss: 0.0950 | Val Acc: 96.40%
Epoch 8 | Train Loss: 0.0798 | Train Acc: 97.04% | Val Loss: 0.0894 | Val Acc: 96.47%
Epoch 9 | Train Loss: 0.0632 | Train Acc: 97.51% | Val Loss: 0.0726 | Val Acc: 96.78%
Epoch 10 | Train Loss: 0.0640 | Train Acc: 97.65% | Val Loss: 0.0741 | Val Acc: 96.73%
96.73333333333333 96.67
