Epoch 1 | Train Loss: 0.9599 | Train Acc: 9.89% | Val Loss: 0.9632 | Val Acc: 9.67%
Epoch 2 | Train Loss: 1.6752 | Train Acc: 9.85% | Val Loss: 1.6673 | Val Acc: 10.53%
Epoch 3 | Train Loss: 1.5458 | Train Acc: 9.89% | Val Loss: 1.5482 | Val Acc: 9.67%
Epoch 4 | Train Loss: 1.5963 | Train Acc: 9.97% | Val Loss: 1.6006 | Val Acc: 9.53%
Epoch 5 | Train Loss: 2.0959 | Train Acc: 11.27% | Val Loss: 2.1065 | Val Acc: 10.90%
Epoch 6 | Train Loss: 1.5827 | Train Acc: 10.43% | Val Loss: 1.5808 | Val Acc: 10.55%
Epoch 7 | Train Loss: 2.3737 | Train Acc: 9.97% | Val Loss: 2.3693 | Val Acc: 9.53%
Epoch 8 | Train Loss: 1.6075 | Train Acc: 11.27% | Val Loss: 1.6110 | Val Acc: 10.90%
Epoch 9 | Train Loss: 1.7156 | Train Acc: 9.81% | Val Loss: 1.7040 | Val Acc: 10.40%
Epoch 10 | Train Loss: 1.5815 | Train Acc: 10.43% | Val Loss: 1.5906 | Val Acc: 10.55%
10.549999999999999 10.280000000000001
