Epoch 1 | Train Loss: 0.2392 | Train Acc: 90.98% | Val Loss: 0.2401 | Val Acc: 90.93%
Epoch 2 | Train Loss: 0.1798 | Train Acc: 93.20% | Val Loss: 0.1800 | Val Acc: 93.45%
Epoch 3 | Train Loss: 0.1479 | Train Acc: 94.35% | Val Loss: 0.1492 | Val Acc: 94.15%
Epoch 4 | Train Loss: 0.1348 | Train Acc: 95.10% | Val Loss: 0.1375 | Val Acc: 94.80%
Epoch 5 | Train Loss: 0.1196 | Train Acc: 95.54% | Val Loss: 0.1236 | Val Acc: 95.02%
Epoch 6 | Train Loss: 0.1102 | Train Acc: 95.84% | Val Loss: 0.1156 | Val Acc: 95.15%
Epoch 7 | Train Loss: 0.0991 | Train Acc: 96.15% | Val Loss: 0.1037 | Val Acc: 95.87%
Epoch 8 | Train Loss: 0.0952 | Train Acc: 96.45% | Val Loss: 0.1013 | Val Acc: 96.05%
Epoch 9 | Train Loss: 0.0910 | Train Acc: 96.64% | Val Loss: 0.0973 | Val Acc: 96.05%
Epoch 10 | Train Loss: 0.0803 | Train Acc: 96.90% | Val Loss: 0.0883 | Val Acc: 96.18%
96.18333333333334 96.05
