Epoch 1 | Train Loss: 1.0344 | Train Acc: 69.74% | Val Loss: 1.0391 | Val Acc: 69.73%
Epoch 2 | Train Loss: 0.8266 | Train Acc: 73.92% | Val Loss: 0.8324 | Val Acc: 73.60%
Epoch 3 | Train Loss: 0.7239 | Train Acc: 77.06% | Val Loss: 0.7297 | Val Acc: 76.38%
Epoch 4 | Train Loss: 0.6593 | Train Acc: 79.00% | Val Loss: 0.6653 | Val Acc: 78.42%
Epoch 5 | Train Loss: 0.6133 | Train Acc: 80.12% | Val Loss: 0.6199 | Val Acc: 79.40%
Epoch 6 | Train Loss: 0.5792 | Train Acc: 81.10% | Val Loss: 0.5854 | Val Acc: 80.70%
Epoch 7 | Train Loss: 0.5536 | Train Acc: 81.75% | Val Loss: 0.5603 | Val Acc: 81.12%
Epoch 8 | Train Loss: 0.5321 | Train Acc: 82.24% | Val Loss: 0.5384 | Val Acc: 81.63%
Epoch 9 | Train Loss: 0.5161 | Train Acc: 82.74% | Val Loss: 0.5225 | Val Acc: 82.08%
Epoch 10 | Train Loss: 0.5017 | Train Acc: 83.11% | Val Loss: 0.5081 | Val Acc: 82.67%
82.66666666666667 81.84
