Epoch 1 | Train Loss: 1.3858 | Train Acc: 62.03% | Val Loss: 1.3978 | Val Acc: 61.17%
Epoch 2 | Train Loss: 1.1042 | Train Acc: 66.82% | Val Loss: 1.1169 | Val Acc: 66.45%
Epoch 3 | Train Loss: 0.9637 | Train Acc: 69.81% | Val Loss: 0.9760 | Val Acc: 68.73%
Epoch 4 | Train Loss: 0.8757 | Train Acc: 72.13% | Val Loss: 0.8872 | Val Acc: 71.13%
Epoch 5 | Train Loss: 0.8144 | Train Acc: 73.99% | Val Loss: 0.8256 | Val Acc: 73.18%
Epoch 6 | Train Loss: 0.7679 | Train Acc: 75.55% | Val Loss: 0.7786 | Val Acc: 74.60%
Epoch 7 | Train Loss: 0.7314 | Train Acc: 76.57% | Val Loss: 0.7417 | Val Acc: 75.97%
Epoch 8 | Train Loss: 0.7015 | Train Acc: 77.34% | Val Loss: 0.7116 | Val Acc: 76.57%
Epoch 9 | Train Loss: 0.6766 | Train Acc: 77.98% | Val Loss: 0.6867 | Val Acc: 77.33%
Epoch 10 | Train Loss: 0.6552 | Train Acc: 78.63% | Val Loss: 0.6651 | Val Acc: 77.85%
77.85 77.55
