Epoch 1 | Train Loss: 0.8361 | Train Acc: 82.76% | Val Loss: 0.8389 | Val Acc: 82.80%
Epoch 2 | Train Loss: 0.8342 | Train Acc: 81.03% | Val Loss: 0.8394 | Val Acc: 81.22%
Epoch 3 | Train Loss: 0.8242 | Train Acc: 80.91% | Val Loss: 0.8260 | Val Acc: 81.00%
Epoch 4 | Train Loss: 0.8301 | Train Acc: 80.44% | Val Loss: 0.8348 | Val Acc: 80.10%
Epoch 5 | Train Loss: 0.8268 | Train Acc: 81.13% | Val Loss: 0.8283 | Val Acc: 81.17%
Epoch 6 | Train Loss: 0.8274 | Train Acc: 80.25% | Val Loss: 0.8309 | Val Acc: 80.30%
Epoch 7 | Train Loss: 0.8193 | Train Acc: 80.07% | Val Loss: 0.8248 | Val Acc: 79.83%
Epoch 8 | Train Loss: 0.8201 | Train Acc: 80.46% | Val Loss: 0.8247 | Val Acc: 80.68%
Epoch 9 | Train Loss: 0.8463 | Train Acc: 78.10% | Val Loss: 0.8464 | Val Acc: 77.60%
Epoch 10 | Train Loss: 0.8217 | Train Acc: 80.38% | Val Loss: 0.8261 | Val Acc: 80.72%
80.71666666666667 81.17
