Epoch 1 | Train Loss: 1.3938 | Train Acc: 45.73% | Val Loss: 1.3978 | Val Acc: 44.85%
Epoch 2 | Train Loss: 0.1953 | Train Acc: 94.78% | Val Loss: 0.2115 | Val Acc: 94.28%
Epoch 3 | Train Loss: 0.1385 | Train Acc: 96.14% | Val Loss: 0.1536 | Val Acc: 95.82%
Epoch 4 | Train Loss: 0.1105 | Train Acc: 96.95% | Val Loss: 0.1463 | Val Acc: 95.85%
Epoch 5 | Train Loss: 0.0718 | Train Acc: 97.98% | Val Loss: 0.1102 | Val Acc: 97.07%
Epoch 6 | Train Loss: 0.0653 | Train Acc: 98.07% | Val Loss: 0.1191 | Val Acc: 96.43%
Epoch 7 | Train Loss: 0.0590 | Train Acc: 98.22% | Val Loss: 0.1142 | Val Acc: 96.82%
Epoch 8 | Train Loss: 0.0609 | Train Acc: 98.13% | Val Loss: 0.1267 | Val Acc: 96.57%
Epoch 9 | Train Loss: 0.0423 | Train Acc: 98.73% | Val Loss: 0.1144 | Val Acc: 96.85%
Epoch 10 | Train Loss: 0.0408 | Train Acc: 98.80% | Val Loss: 0.1080 | Val Acc: 97.17%
97.16666666666667 96.85000000000001
