Epoch 1 | Train Loss: 0.1661 | Train Acc: 95.23% | Val Loss: 0.1742 | Val Acc: 94.93%
Epoch 2 | Train Loss: 0.1210 | Train Acc: 96.66% | Val Loss: 0.1366 | Val Acc: 96.10%
Epoch 3 | Train Loss: 0.0900 | Train Acc: 97.57% | Val Loss: 0.1116 | Val Acc: 96.53%
Epoch 4 | Train Loss: 0.0791 | Train Acc: 97.90% | Val Loss: 0.1039 | Val Acc: 96.95%
Epoch 5 | Train Loss: 0.0656 | Train Acc: 98.20% | Val Loss: 0.0966 | Val Acc: 96.93%
Epoch 6 | Train Loss: 0.0502 | Train Acc: 98.79% | Val Loss: 0.0836 | Val Acc: 97.48%
Epoch 7 | Train Loss: 0.0410 | Train Acc: 99.03% | Val Loss: 0.0777 | Val Acc: 97.68%
Epoch 8 | Train Loss: 0.0366 | Train Acc: 99.10% | Val Loss: 0.0787 | Val Acc: 97.67%
Epoch 9 | Train Loss: 0.0287 | Train Acc: 99.36% | Val Loss: 0.0719 | Val Acc: 97.82%
Epoch 10 | Train Loss: 0.0238 | Train Acc: 99.55% | Val Loss: 0.0678 | Val Acc: 98.07%
98.06666666666666 97.69
