Epoch 1 | Train Loss: 0.1141 | Train Acc: 93.45% | Val Loss: 0.1159 | Val Acc: 92.77%
Epoch 2 | Train Loss: 0.0928 | Train Acc: 94.99% | Val Loss: 0.0959 | Val Acc: 94.47%
Epoch 3 | Train Loss: 0.0732 | Train Acc: 95.97% | Val Loss: 0.0773 | Val Acc: 95.55%
Epoch 4 | Train Loss: 0.0750 | Train Acc: 96.37% | Val Loss: 0.0814 | Val Acc: 95.67%
Epoch 5 | Train Loss: 0.0574 | Train Acc: 97.07% | Val Loss: 0.0676 | Val Acc: 96.43%
Epoch 6 | Train Loss: 0.0585 | Train Acc: 96.80% | Val Loss: 0.0702 | Val Acc: 95.97%
Epoch 7 | Train Loss: 0.0384 | Train Acc: 98.03% | Val Loss: 0.0510 | Val Acc: 96.98%
Epoch 8 | Train Loss: 0.0345 | Train Acc: 98.25% | Val Loss: 0.0485 | Val Acc: 97.18%
Epoch 9 | Train Loss: 0.0316 | Train Acc: 98.37% | Val Loss: 0.0479 | Val Acc: 97.10%
Epoch 10 | Train Loss: 0.0277 | Train Acc: 98.57% | Val Loss: 0.0446 | Val Acc: 97.23%
97.23333333333333 97.44
