Epoch 1 | Train Loss: 1.9593 | Train Acc: 37.70% | Val Loss: 1.9601 | Val Acc: 38.32%
Epoch 2 | Train Loss: 1.6237 | Train Acc: 62.78% | Val Loss: 1.6265 | Val Acc: 62.82%
Epoch 3 | Train Loss: 1.3723 | Train Acc: 70.41% | Val Loss: 1.3754 | Val Acc: 70.37%
Epoch 4 | Train Loss: 1.1894 | Train Acc: 74.54% | Val Loss: 1.1923 | Val Acc: 74.68%
Epoch 5 | Train Loss: 1.0549 | Train Acc: 77.53% | Val Loss: 1.0570 | Val Acc: 77.80%
Epoch 6 | Train Loss: 0.9536 | Train Acc: 79.60% | Val Loss: 0.9549 | Val Acc: 79.85%
Epoch 7 | Train Loss: 0.8752 | Train Acc: 81.16% | Val Loss: 0.8755 | Val Acc: 81.32%
Epoch 8 | Train Loss: 0.8129 | Train Acc: 82.27% | Val Loss: 0.8124 | Val Acc: 82.47%
Epoch 9 | Train Loss: 0.7623 | Train Acc: 83.19% | Val Loss: 0.7611 | Val Acc: 83.57%
Epoch 10 | Train Loss: 0.7204 | Train Acc: 83.85% | Val Loss: 0.7185 | Val Acc: 84.23%
84.23333333333333 84.75
