Epoch 1 | Train Loss: 0.2004 | Train Acc: 94.59% | Val Loss: 0.2016 | Val Acc: 94.28%
Epoch 2 | Train Loss: 0.1409 | Train Acc: 96.14% | Val Loss: 0.1489 | Val Acc: 95.90%
Epoch 3 | Train Loss: 0.1171 | Train Acc: 96.73% | Val Loss: 0.1338 | Val Acc: 96.08%
Epoch 4 | Train Loss: 0.0917 | Train Acc: 97.52% | Val Loss: 0.1118 | Val Acc: 96.80%
Epoch 5 | Train Loss: 0.0784 | Train Acc: 97.91% | Val Loss: 0.1019 | Val Acc: 96.95%
Epoch 6 | Train Loss: 0.0666 | Train Acc: 98.21% | Val Loss: 0.0917 | Val Acc: 97.43%
Epoch 7 | Train Loss: 0.0566 | Train Acc: 98.49% | Val Loss: 0.0856 | Val Acc: 97.47%
Epoch 8 | Train Loss: 0.0511 | Train Acc: 98.66% | Val Loss: 0.0868 | Val Acc: 97.38%
Epoch 9 | Train Loss: 0.0433 | Train Acc: 98.94% | Val Loss: 0.0781 | Val Acc: 97.45%
Epoch 10 | Train Loss: 0.0347 | Train Acc: 99.16% | Val Loss: 0.0743 | Val Acc: 97.88%
97.88333333333334 97.59
