Epoch 1 | Train Loss: 0.8764 | Train Acc: 71.90% | Val Loss: 0.8883 | Val Acc: 71.03%
Epoch 2 | Train Loss: 0.7135 | Train Acc: 76.90% | Val Loss: 0.7247 | Val Acc: 76.15%
Epoch 3 | Train Loss: 0.6340 | Train Acc: 79.49% | Val Loss: 0.6442 | Val Acc: 78.55%
Epoch 4 | Train Loss: 0.5839 | Train Acc: 80.78% | Val Loss: 0.5931 | Val Acc: 80.28%
Epoch 5 | Train Loss: 0.5501 | Train Acc: 81.66% | Val Loss: 0.5593 | Val Acc: 81.00%
Epoch 6 | Train Loss: 0.5263 | Train Acc: 82.18% | Val Loss: 0.5355 | Val Acc: 81.53%
Epoch 7 | Train Loss: 0.5066 | Train Acc: 82.75% | Val Loss: 0.5156 | Val Acc: 82.02%
Epoch 8 | Train Loss: 0.4920 | Train Acc: 83.18% | Val Loss: 0.5003 | Val Acc: 82.37%
Epoch 9 | Train Loss: 0.4805 | Train Acc: 83.33% | Val Loss: 0.4882 | Val Acc: 82.88%
Epoch 10 | Train Loss: 0.4704 | Train Acc: 83.76% | Val Loss: 0.4783 | Val Acc: 83.05%
83.05 82.62
