Epoch 1 | Train Loss: 0.2223 | Train Acc: 91.71% | Val Loss: 0.2220 | Val Acc: 91.92%
Epoch 2 | Train Loss: 0.1655 | Train Acc: 93.74% | Val Loss: 0.1665 | Val Acc: 93.67%
Epoch 3 | Train Loss: 0.1516 | Train Acc: 94.49% | Val Loss: 0.1527 | Val Acc: 94.10%
Epoch 4 | Train Loss: 0.1205 | Train Acc: 95.48% | Val Loss: 0.1239 | Val Acc: 95.17%
Epoch 5 | Train Loss: 0.1078 | Train Acc: 96.07% | Val Loss: 0.1119 | Val Acc: 95.80%
Epoch 6 | Train Loss: 0.0986 | Train Acc: 96.41% | Val Loss: 0.1039 | Val Acc: 95.98%
Epoch 7 | Train Loss: 0.1022 | Train Acc: 96.56% | Val Loss: 0.1087 | Val Acc: 96.25%
Epoch 8 | Train Loss: 0.0829 | Train Acc: 96.96% | Val Loss: 0.0901 | Val Acc: 96.53%
Epoch 9 | Train Loss: 0.1003 | Train Acc: 96.87% | Val Loss: 0.1073 | Val Acc: 96.63%
Epoch 10 | Train Loss: 0.0827 | Train Acc: 97.21% | Val Loss: 0.0903 | Val Acc: 96.83%
96.83333333333334 96.56
