Epoch 1 | Train Loss: 0.1982 | Train Acc: 90.99% | Val Loss: 0.1959 | Val Acc: 91.45%
Epoch 2 | Train Loss: 0.1491 | Train Acc: 92.76% | Val Loss: 0.1487 | Val Acc: 93.03%
Epoch 3 | Train Loss: 0.1243 | Train Acc: 93.90% | Val Loss: 0.1247 | Val Acc: 93.62%
Epoch 4 | Train Loss: 0.1117 | Train Acc: 94.51% | Val Loss: 0.1132 | Val Acc: 94.23%
Epoch 5 | Train Loss: 0.1029 | Train Acc: 95.04% | Val Loss: 0.1060 | Val Acc: 94.45%
Epoch 6 | Train Loss: 0.0920 | Train Acc: 95.58% | Val Loss: 0.0962 | Val Acc: 94.92%
Epoch 7 | Train Loss: 0.0881 | Train Acc: 95.91% | Val Loss: 0.0935 | Val Acc: 95.05%
Epoch 8 | Train Loss: 0.0832 | Train Acc: 96.23% | Val Loss: 0.0889 | Val Acc: 95.48%
Epoch 9 | Train Loss: 0.0734 | Train Acc: 96.57% | Val Loss: 0.0802 | Val Acc: 95.78%
Epoch 10 | Train Loss: 0.0695 | Train Acc: 96.90% | Val Loss: 0.0766 | Val Acc: 96.13%
96.13333333333334 96.41
