Epoch 1 | Train Loss: 1.0732 | Train Acc: 31.90% | Val Loss: 1.0724 | Val Acc: 31.77%
Epoch 2 | Train Loss: 0.8997 | Train Acc: 44.17% | Val Loss: 0.9014 | Val Acc: 43.63%
Epoch 3 | Train Loss: 0.8093 | Train Acc: 51.07% | Val Loss: 0.8122 | Val Acc: 50.88%
Epoch 4 | Train Loss: 0.7516 | Train Acc: 55.38% | Val Loss: 0.7550 | Val Acc: 54.67%
Epoch 5 | Train Loss: 0.7107 | Train Acc: 58.48% | Val Loss: 0.7147 | Val Acc: 57.45%
Epoch 6 | Train Loss: 0.6797 | Train Acc: 60.63% | Val Loss: 0.6840 | Val Acc: 59.38%
Epoch 7 | Train Loss: 0.6551 | Train Acc: 62.41% | Val Loss: 0.6594 | Val Acc: 61.32%
Epoch 8 | Train Loss: 0.6349 | Train Acc: 63.81% | Val Loss: 0.6395 | Val Acc: 62.80%
Epoch 9 | Train Loss: 0.6177 | Train Acc: 65.06% | Val Loss: 0.6225 | Val Acc: 64.20%
Epoch 10 | Train Loss: 0.6031 | Train Acc: 66.11% | Val Loss: 0.6079 | Val Acc: 65.20%
65.2 65.55
