Epoch 1 | Train Loss: 0.2062 | Train Acc: 94.11% | Val Loss: 0.2082 | Val Acc: 94.15%
Epoch 2 | Train Loss: 0.1415 | Train Acc: 95.97% | Val Loss: 0.1499 | Val Acc: 95.55%
Epoch 3 | Train Loss: 0.1180 | Train Acc: 96.55% | Val Loss: 0.1380 | Val Acc: 95.65%
Epoch 4 | Train Loss: 0.0964 | Train Acc: 97.29% | Val Loss: 0.1174 | Val Acc: 96.40%
Epoch 5 | Train Loss: 0.0750 | Train Acc: 97.90% | Val Loss: 0.1017 | Val Acc: 96.78%
Epoch 6 | Train Loss: 0.0663 | Train Acc: 98.16% | Val Loss: 0.0953 | Val Acc: 97.12%
Epoch 7 | Train Loss: 0.0475 | Train Acc: 98.79% | Val Loss: 0.0833 | Val Acc: 97.43%
Epoch 8 | Train Loss: 0.0415 | Train Acc: 98.92% | Val Loss: 0.0795 | Val Acc: 97.57%
Epoch 9 | Train Loss: 0.0366 | Train Acc: 99.05% | Val Loss: 0.0796 | Val Acc: 97.57%
Epoch 10 | Train Loss: 0.0283 | Train Acc: 99.32% | Val Loss: 0.0754 | Val Acc: 97.57%
97.56666666666666 97.52
