Epoch 1 | Train Loss: 0.3177 | Train Acc: 89.65% | Val Loss: 0.3190 | Val Acc: 89.63%
Epoch 2 | Train Loss: 0.2112 | Train Acc: 93.37% | Val Loss: 0.2128 | Val Acc: 92.95%
Epoch 3 | Train Loss: 0.1898 | Train Acc: 94.46% | Val Loss: 0.1936 | Val Acc: 94.33%
Epoch 4 | Train Loss: 0.1399 | Train Acc: 95.91% | Val Loss: 0.1445 | Val Acc: 95.43%
Epoch 5 | Train Loss: 0.2080 | Train Acc: 95.48% | Val Loss: 0.2178 | Val Acc: 94.93%
Epoch 6 | Train Loss: 0.1134 | Train Acc: 96.62% | Val Loss: 0.1232 | Val Acc: 95.73%
Epoch 7 | Train Loss: 0.1187 | Train Acc: 96.90% | Val Loss: 0.1306 | Val Acc: 95.97%
Epoch 8 | Train Loss: 0.1109 | Train Acc: 97.39% | Val Loss: 0.1227 | Val Acc: 96.20%
Epoch 9 | Train Loss: 0.1757 | Train Acc: 96.48% | Val Loss: 0.1912 | Val Acc: 94.87%
Epoch 10 | Train Loss: 0.0532 | Train Acc: 97.97% | Val Loss: 0.0688 | Val Acc: 96.78%
96.78333333333333 96.76
