Epoch 1 | Train Loss: 0.2669 | Train Acc: 90.69% | Val Loss: 0.2670 | Val Acc: 91.10%
Epoch 2 | Train Loss: 0.2092 | Train Acc: 92.70% | Val Loss: 0.2092 | Val Acc: 92.78%
Epoch 3 | Train Loss: 0.1680 | Train Acc: 93.95% | Val Loss: 0.1679 | Val Acc: 94.12%
Epoch 4 | Train Loss: 0.1508 | Train Acc: 94.65% | Val Loss: 0.1515 | Val Acc: 94.65%
Epoch 5 | Train Loss: 0.1314 | Train Acc: 95.10% | Val Loss: 0.1331 | Val Acc: 94.98%
Epoch 6 | Train Loss: 0.1230 | Train Acc: 95.53% | Val Loss: 0.1256 | Val Acc: 95.48%
Epoch 7 | Train Loss: 0.1130 | Train Acc: 95.93% | Val Loss: 0.1161 | Val Acc: 95.72%
Epoch 8 | Train Loss: 0.1045 | Train Acc: 96.18% | Val Loss: 0.1087 | Val Acc: 95.83%
Epoch 9 | Train Loss: 0.0988 | Train Acc: 96.44% | Val Loss: 0.1037 | Val Acc: 95.98%
Epoch 10 | Train Loss: 0.0912 | Train Acc: 96.65% | Val Loss: 0.0964 | Val Acc: 96.17%
96.16666666666667 96.24000000000001
