Epoch 1 | Train Loss: 0.3168 | Train Acc: 89.16% | Val Loss: 0.3172 | Val Acc: 89.78%
Epoch 2 | Train Loss: 0.2500 | Train Acc: 91.54% | Val Loss: 0.2498 | Val Acc: 92.05%
Epoch 3 | Train Loss: 0.2143 | Train Acc: 92.88% | Val Loss: 0.2149 | Val Acc: 93.23%
Epoch 4 | Train Loss: 0.1929 | Train Acc: 93.64% | Val Loss: 0.1946 | Val Acc: 93.70%
Epoch 5 | Train Loss: 0.1767 | Train Acc: 94.11% | Val Loss: 0.1781 | Val Acc: 94.25%
Epoch 6 | Train Loss: 0.1613 | Train Acc: 94.61% | Val Loss: 0.1638 | Val Acc: 94.88%
Epoch 7 | Train Loss: 0.1630 | Train Acc: 94.85% | Val Loss: 0.1672 | Val Acc: 94.57%
Epoch 8 | Train Loss: 0.1473 | Train Acc: 95.24% | Val Loss: 0.1518 | Val Acc: 94.87%
Epoch 9 | Train Loss: 0.1345 | Train Acc: 95.54% | Val Loss: 0.1383 | Val Acc: 95.43%
Epoch 10 | Train Loss: 0.1277 | Train Acc: 95.67% | Val Loss: 0.1326 | Val Acc: 95.48%
95.48333333333333 95.38
