Epoch 1 | Train Loss: 0.2963 | Train Acc: 91.15% | Val Loss: 0.3000 | Val Acc: 91.50%
Epoch 2 | Train Loss: 0.2707 | Train Acc: 92.76% | Val Loss: 0.2738 | Val Acc: 92.65%
Epoch 3 | Train Loss: 0.3390 | Train Acc: 93.11% | Val Loss: 0.3427 | Val Acc: 92.63%
Epoch 4 | Train Loss: 0.2100 | Train Acc: 95.26% | Val Loss: 0.2156 | Val Acc: 95.03%
Epoch 5 | Train Loss: 0.2941 | Train Acc: 92.87% | Val Loss: 0.3017 | Val Acc: 92.20%
Epoch 6 | Train Loss: 0.1383 | Train Acc: 96.39% | Val Loss: 0.1465 | Val Acc: 95.82%
Epoch 7 | Train Loss: 0.1597 | Train Acc: 96.51% | Val Loss: 0.1683 | Val Acc: 95.88%
Epoch 8 | Train Loss: 0.1599 | Train Acc: 96.60% | Val Loss: 0.1709 | Val Acc: 95.90%
Epoch 9 | Train Loss: 0.1292 | Train Acc: 97.02% | Val Loss: 0.1386 | Val Acc: 96.57%
Epoch 10 | Train Loss: 0.1327 | Train Acc: 96.90% | Val Loss: 0.1438 | Val Acc: 96.47%
96.46666666666667 96.06
