Epoch 1 | Train Loss: 0.1123 | Train Acc: 96.81% | Val Loss: 0.1339 | Val Acc: 95.95%
Epoch 2 | Train Loss: 0.0756 | Train Acc: 97.86% | Val Loss: 0.1090 | Val Acc: 96.77%
Epoch 3 | Train Loss: 0.0564 | Train Acc: 98.32% | Val Loss: 0.1037 | Val Acc: 96.88%
Epoch 4 | Train Loss: 0.0511 | Train Acc: 98.35% | Val Loss: 0.1034 | Val Acc: 96.60%
Epoch 5 | Train Loss: 0.0594 | Train Acc: 98.25% | Val Loss: 0.1136 | Val Acc: 96.62%
Epoch 6 | Train Loss: 0.0430 | Train Acc: 98.58% | Val Loss: 0.1071 | Val Acc: 96.73%
Epoch 7 | Train Loss: 0.0348 | Train Acc: 98.86% | Val Loss: 0.0944 | Val Acc: 97.28%
Epoch 8 | Train Loss: 0.0404 | Train Acc: 98.74% | Val Loss: 0.1133 | Val Acc: 96.85%
Epoch 9 | Train Loss: 0.1307 | Train Acc: 96.16% | Val Loss: 0.2153 | Val Acc: 94.37%
Epoch 10 | Train Loss: 0.0165 | Train Acc: 99.48% | Val Loss: 0.0845 | Val Acc: 97.82%
97.81666666666666 97.61999999999999
