Epoch 1 | Train Loss: 0.1883 | Train Acc: 94.51% | Val Loss: 0.1918 | Val Acc: 94.12%
Epoch 2 | Train Loss: 0.1379 | Train Acc: 95.98% | Val Loss: 0.1505 | Val Acc: 95.62%
Epoch 3 | Train Loss: 0.1024 | Train Acc: 97.01% | Val Loss: 0.1143 | Val Acc: 96.60%
Epoch 4 | Train Loss: 0.0948 | Train Acc: 97.19% | Val Loss: 0.1125 | Val Acc: 96.50%
Epoch 5 | Train Loss: 0.0604 | Train Acc: 98.34% | Val Loss: 0.0882 | Val Acc: 97.35%
Epoch 6 | Train Loss: 0.0558 | Train Acc: 98.37% | Val Loss: 0.0886 | Val Acc: 97.05%
Epoch 7 | Train Loss: 0.0430 | Train Acc: 98.84% | Val Loss: 0.0825 | Val Acc: 97.57%
Epoch 8 | Train Loss: 0.0348 | Train Acc: 99.04% | Val Loss: 0.0736 | Val Acc: 97.70%
Epoch 9 | Train Loss: 0.0405 | Train Acc: 98.81% | Val Loss: 0.0862 | Val Acc: 97.22%
Epoch 10 | Train Loss: 0.0235 | Train Acc: 99.44% | Val Loss: 0.0733 | Val Acc: 97.82%
97.81666666666666 97.6
