Epoch 1 | Train Loss: 0.2946 | Train Acc: 91.84% | Val Loss: 0.2927 | Val Acc: 92.03%
Epoch 2 | Train Loss: 0.2515 | Train Acc: 92.89% | Val Loss: 0.2522 | Val Acc: 92.95%
Epoch 3 | Train Loss: 0.2257 | Train Acc: 93.70% | Val Loss: 0.2289 | Val Acc: 93.48%
Epoch 4 | Train Loss: 0.2067 | Train Acc: 94.27% | Val Loss: 0.2107 | Val Acc: 94.05%
Epoch 5 | Train Loss: 0.1924 | Train Acc: 94.60% | Val Loss: 0.1990 | Val Acc: 94.37%
Epoch 6 | Train Loss: 0.1801 | Train Acc: 94.98% | Val Loss: 0.1868 | Val Acc: 94.43%
Epoch 7 | Train Loss: 0.1688 | Train Acc: 95.29% | Val Loss: 0.1766 | Val Acc: 94.85%
Epoch 8 | Train Loss: 0.1597 | Train Acc: 95.55% | Val Loss: 0.1701 | Val Acc: 95.07%
Epoch 9 | Train Loss: 0.1512 | Train Acc: 95.83% | Val Loss: 0.1613 | Val Acc: 95.22%
Epoch 10 | Train Loss: 0.1435 | Train Acc: 96.05% | Val Loss: 0.1561 | Val Acc: 95.48%
95.48333333333333 95.54
