Epoch 1 | Train Loss: 0.4623 | Train Acc: 81.09% | Val Loss: 0.4634 | Val Acc: 80.93%
Epoch 2 | Train Loss: 0.3772 | Train Acc: 85.52% | Val Loss: 0.3782 | Val Acc: 85.98%
Epoch 3 | Train Loss: 0.3348 | Train Acc: 87.30% | Val Loss: 0.3362 | Val Acc: 87.72%
Epoch 4 | Train Loss: 0.3055 | Train Acc: 88.31% | Val Loss: 0.3066 | Val Acc: 88.63%
Epoch 5 | Train Loss: 0.2815 | Train Acc: 88.96% | Val Loss: 0.2826 | Val Acc: 89.00%
Epoch 6 | Train Loss: 0.2606 | Train Acc: 89.69% | Val Loss: 0.2611 | Val Acc: 89.97%
Epoch 7 | Train Loss: 0.2429 | Train Acc: 90.15% | Val Loss: 0.2433 | Val Acc: 90.38%
Epoch 8 | Train Loss: 0.2279 | Train Acc: 90.67% | Val Loss: 0.2280 | Val Acc: 90.98%
Epoch 9 | Train Loss: 0.2146 | Train Acc: 91.19% | Val Loss: 0.2142 | Val Acc: 91.25%
Epoch 10 | Train Loss: 0.2031 | Train Acc: 91.55% | Val Loss: 0.2027 | Val Acc: 91.70%
91.7 91.84
