Epoch 1 | Train Loss: 0.3120 | Train Acc: 91.23% | Val Loss: 0.3085 | Val Acc: 91.47%
Epoch 2 | Train Loss: 0.2636 | Train Acc: 92.54% | Val Loss: 0.2639 | Val Acc: 92.58%
Epoch 3 | Train Loss: 0.2366 | Train Acc: 93.23% | Val Loss: 0.2395 | Val Acc: 93.12%
Epoch 4 | Train Loss: 0.2162 | Train Acc: 93.85% | Val Loss: 0.2208 | Val Acc: 93.52%
Epoch 5 | Train Loss: 0.1983 | Train Acc: 94.36% | Val Loss: 0.2047 | Val Acc: 93.93%
Epoch 6 | Train Loss: 0.1842 | Train Acc: 94.70% | Val Loss: 0.1930 | Val Acc: 94.15%
Epoch 7 | Train Loss: 0.1709 | Train Acc: 95.00% | Val Loss: 0.1806 | Val Acc: 94.72%
Epoch 8 | Train Loss: 0.1607 | Train Acc: 95.35% | Val Loss: 0.1724 | Val Acc: 95.00%
Epoch 9 | Train Loss: 0.1495 | Train Acc: 95.73% | Val Loss: 0.1631 | Val Acc: 95.20%
Epoch 10 | Train Loss: 0.1398 | Train Acc: 96.01% | Val Loss: 0.1551 | Val Acc: 95.47%
95.46666666666667 95.56
