Epoch 1 | Train Loss: 0.2312 | Train Acc: 91.98% | Val Loss: 0.2307 | Val Acc: 92.25%
Epoch 2 | Train Loss: 0.1433 | Train Acc: 93.98% | Val Loss: 0.1447 | Val Acc: 93.68%
Epoch 3 | Train Loss: 0.1194 | Train Acc: 94.85% | Val Loss: 0.1233 | Val Acc: 94.37%
Epoch 4 | Train Loss: 0.1130 | Train Acc: 95.32% | Val Loss: 0.1181 | Val Acc: 94.77%
Epoch 5 | Train Loss: 0.1488 | Train Acc: 95.13% | Val Loss: 0.1546 | Val Acc: 94.43%
Epoch 6 | Train Loss: 0.0979 | Train Acc: 95.91% | Val Loss: 0.1043 | Val Acc: 95.33%
Epoch 7 | Train Loss: 0.1171 | Train Acc: 95.83% | Val Loss: 0.1236 | Val Acc: 95.18%
Epoch 8 | Train Loss: 0.1104 | Train Acc: 96.38% | Val Loss: 0.1183 | Val Acc: 95.65%
Epoch 9 | Train Loss: 0.0983 | Train Acc: 96.72% | Val Loss: 0.1067 | Val Acc: 96.07%
Epoch 10 | Train Loss: 0.0790 | Train Acc: 96.95% | Val Loss: 0.0882 | Val Acc: 96.15%
96.15 96.17
