Epoch 1 | Train Loss: 0.3815 | Train Acc: 86.13% | Val Loss: 0.3853 | Val Acc: 85.92%
Epoch 2 | Train Loss: 0.3126 | Train Acc: 89.23% | Val Loss: 0.3157 | Val Acc: 89.38%
Epoch 3 | Train Loss: 0.2775 | Train Acc: 90.85% | Val Loss: 0.2816 | Val Acc: 91.18%
Epoch 4 | Train Loss: 0.2484 | Train Acc: 91.89% | Val Loss: 0.2523 | Val Acc: 92.00%
Epoch 5 | Train Loss: 0.2282 | Train Acc: 92.57% | Val Loss: 0.2315 | Val Acc: 92.80%
Epoch 6 | Train Loss: 0.2148 | Train Acc: 93.25% | Val Loss: 0.2188 | Val Acc: 93.47%
Epoch 7 | Train Loss: 0.1984 | Train Acc: 93.85% | Val Loss: 0.2032 | Val Acc: 93.65%
Epoch 8 | Train Loss: 0.1916 | Train Acc: 94.06% | Val Loss: 0.1961 | Val Acc: 93.98%
Epoch 9 | Train Loss: 0.1804 | Train Acc: 94.36% | Val Loss: 0.1854 | Val Acc: 94.30%
Epoch 10 | Train Loss: 0.1753 | Train Acc: 94.59% | Val Loss: 0.1804 | Val Acc: 94.32%
94.31666666666668 94.39999999999999
