Epoch 1 | Train Loss: 0.4118 | Train Acc: 89.71% | Val Loss: 0.4121 | Val Acc: 90.03%
Epoch 2 | Train Loss: 0.3735 | Train Acc: 90.71% | Val Loss: 0.3719 | Val Acc: 90.72%
Epoch 3 | Train Loss: 0.3960 | Train Acc: 89.87% | Val Loss: 0.3980 | Val Acc: 89.85%
Epoch 4 | Train Loss: 0.3676 | Train Acc: 90.85% | Val Loss: 0.3651 | Val Acc: 91.18%
Epoch 5 | Train Loss: 0.3707 | Train Acc: 90.50% | Val Loss: 0.3675 | Val Acc: 90.45%
Epoch 6 | Train Loss: 0.3846 | Train Acc: 89.90% | Val Loss: 0.3855 | Val Acc: 89.88%
Epoch 7 | Train Loss: 0.3717 | Train Acc: 90.41% | Val Loss: 0.3701 | Val Acc: 90.55%
Epoch 8 | Train Loss: 0.3966 | Train Acc: 89.51% | Val Loss: 0.3956 | Val Acc: 89.63%
Epoch 9 | Train Loss: 0.3619 | Train Acc: 90.91% | Val Loss: 0.3618 | Val Acc: 91.07%
Epoch 10 | Train Loss: 0.3764 | Train Acc: 90.00% | Val Loss: 0.3782 | Val Acc: 89.90%
89.9 90.14999999999999
