Epoch 1 | Train Loss: 0.3660 | Train Acc: 86.98% | Val Loss: 0.3706 | Val Acc: 86.73%
Epoch 2 | Train Loss: 0.2976 | Train Acc: 90.49% | Val Loss: 0.3034 | Val Acc: 90.83%
Epoch 3 | Train Loss: 0.2593 | Train Acc: 91.84% | Val Loss: 0.2644 | Val Acc: 91.57%
Epoch 4 | Train Loss: 0.2356 | Train Acc: 92.58% | Val Loss: 0.2397 | Val Acc: 92.82%
Epoch 5 | Train Loss: 0.2088 | Train Acc: 93.63% | Val Loss: 0.2138 | Val Acc: 93.85%
Epoch 6 | Train Loss: 0.2021 | Train Acc: 93.79% | Val Loss: 0.2066 | Val Acc: 93.85%
Epoch 7 | Train Loss: 0.1804 | Train Acc: 94.49% | Val Loss: 0.1854 | Val Acc: 94.52%
Epoch 8 | Train Loss: 0.1796 | Train Acc: 94.89% | Val Loss: 0.1859 | Val Acc: 94.90%
Epoch 9 | Train Loss: 0.1740 | Train Acc: 95.04% | Val Loss: 0.1798 | Val Acc: 95.07%
Epoch 10 | Train Loss: 0.1560 | Train Acc: 95.52% | Val Loss: 0.1628 | Val Acc: 95.40%
95.39999999999999 95.19999999999999
