Epoch 1 | Train Loss: 0.1209 | Train Acc: 96.54% | Val Loss: 0.1343 | Val Acc: 96.32%
Epoch 2 | Train Loss: 0.0743 | Train Acc: 97.87% | Val Loss: 0.0989 | Val Acc: 97.15%
Epoch 3 | Train Loss: 0.0925 | Train Acc: 96.99% | Val Loss: 0.1229 | Val Acc: 96.17%
Epoch 4 | Train Loss: 0.1121 | Train Acc: 96.30% | Val Loss: 0.1671 | Val Acc: 94.82%
Epoch 5 | Train Loss: 0.1513 | Train Acc: 95.07% | Val Loss: 0.2150 | Val Acc: 93.17%
Epoch 6 | Train Loss: 0.0279 | Train Acc: 99.19% | Val Loss: 0.0840 | Val Acc: 97.70%
Epoch 7 | Train Loss: 0.0135 | Train Acc: 99.66% | Val Loss: 0.0726 | Val Acc: 97.93%
Epoch 8 | Train Loss: 0.0137 | Train Acc: 99.63% | Val Loss: 0.0779 | Val Acc: 97.97%
Epoch 9 | Train Loss: 0.0114 | Train Acc: 99.69% | Val Loss: 0.0823 | Val Acc: 97.73%
Epoch 10 | Train Loss: 0.0117 | Train Acc: 99.63% | Val Loss: 0.0893 | Val Acc: 97.72%
97.71666666666667 97.54
